Rank,Ticker,Sector,Price,Chg1D%,EdgeScore,Tier,WyckoffPhase,Setup,PricePosition,GEXScale,GEXClass,GammaFlip,PutWall,CallWall,IVRank,IVImplied,VolRatio,PutCall,Change%,EMA21,SMA50,SMA200,DaysToEarnings,Badge,Past5%,EMA9,Gap9%,SetupPass,WhyBullish,HistWin%,HistAvg%,HistExcess%,BacktestN
1,NKE,"Apparel, Accessories & Luxury Goods",36.05,-0.14,13,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,36.5,35,38,66,45.9,1.27,0.56,-0.55,37.47,40.45,50.22,7,DOWNTREND,0.754611515,36.43,-1.043096349,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
2,BKNG,Internet Travel Services,155.9,-5.07,13,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-2,Neutral / Transition Zone,158.75,155,162.5,60,39.1,1.84,0.88,-5.03,181.46,192.98,184.97,33,DOWNTREND,-9.043173862,172,-9.360465116,TRUE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
3,SCHW,Banks Broker,99.5,-0.85,12,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-4,Moderate Negative Gamma,104,102,106,56,30.1,1.25,1.37,-0.79,106.71,106.86,98.17,21,DOWNTREND,-5.382274629,105.33,-5.534985284,TRUE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +2 Volume ratio > 1.2x (capitulation volume); +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
4,D,Electric Utilities,61.18,-2,11,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,65,65,65,62,22.7,0.98,0.54,-2.02,64.8,67.9,64.25,36,DOWNTREND,-3.668713588,63.74,-4.016316285,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
5,PEP,Soft Drinks & Snacks,130.18,-0.77,11,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-2,Neutral / Transition Zone,132.5,132,133,61,25.3,0.93,0.21,-0.75,135.48,138.45,148.15,14,DOWNTREND,-3.096620515,133.17,-2.245250432,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
6,XLU,Utilities,39.75,-1.92,11,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,40.25,39,41.5,37,16.5,1.32,2.44,-1.75,,45.94,44.33,,DOWNTREND,-3.799612778,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
7,COF,Financials (Credit Services),196.1,-2.22,11,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,216.25,197.5,235,35,33.2,1.46,0.72,-2.27,209.06,212.68,207.42,26,DOWNTREND,-3.489344948,205.14,-4.406746612,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
8,CMG,Restaurants,32.72,0.31,11,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,32.75,31.5,34,27,35.1,1.47,0.44,0.15,35.09,35.09,34.98,34,DOWNTREND,-2.879192639,34.22,-4.38340152,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
9,NVO,Pharmaceuticals,38.17,-3.12,11,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-2,Neutral / Transition Zone,38.75,38,39.5,2,30.1,1.47,0.91,-2.92,43.78,46.71,46.11,41,DOWNTREND,-8.48717334,42.13,-9.399477807,TRUE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
10,ABT,Healthcare (Medical Devices/Pharmaceuticals),103.53,-0.17,10,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,105,103,107,66,32.2,1.43,0.32,-0.19,105.54,106.2,105.09,27,NEUTRAL,1.152906693,103.62,-0.086855819,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200,54.38,1.57,1.05,2600
